ontology,go_id,go_name,root_node,n_chips,total_probe_memberships,semantic_preblock_go_id,semantic_preblock_n_terms,semantic_preblock_ic,semantic_preblock_method,semantic_preblock_id,semantic_preblock_name,semantic_cluster_id,semantic_block_id,semantic_block_name,cluster_method,semantic_similarity_cutoff,semantic_block_n_terms
BP,GO:0000226,microtubule cytoskeleton organization,biological_process,2,124,GO:0000226,40,4.685985471559141,go_ancestor_prepartition,BP_GO_0000226,microtubule cytoskeleton organization,BP_GO_0000226_1,BP_GO_0000226,microtubule cytoskeleton organization,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,14
BP,GO:0001578,microtubule bundle formation,biological_process,2,25,GO:0000226,40,4.685985471559141,go_ancestor_prepartition,BP_GO_0000226,microtubule cytoskeleton organization,BP_GO_0000226_1,BP_GO_0000226,microtubule cytoskeleton organization,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,14
BP,GO:0031023,microtubule organizing center organization,biological_process,1,6,GO:0000226,40,4.685985471559141,go_ancestor_prepartition,BP_GO_0000226,microtubule cytoskeleton organization,BP_GO_0000226_1,BP_GO_0000226,microtubule cytoskeleton organization,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,14
BP,GO:0034453,microtubule anchoring,biological_process,1,10,GO:0000226,40,4.685985471559141,go_ancestor_prepartition,BP_GO_0000226,microtubule cytoskeleton organization,BP_GO_0000226_1,BP_GO_0000226,microtubule cytoskeleton organization,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,14
BP,GO:0007051,spindle organization,biological_process,2,17,GO:0000226,40,4.685985471559141,go_ancestor_prepartition,BP_GO_0000226,microtubule cytoskeleton organization,BP_GO_0000226_2,BP_GO_0000226,microtubule cytoskeleton organization,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,14
BP,GO:0051225,spindle assembly,biological_process,2,36,GO:0000226,40,4.685985471559141,go_ancestor_prepartition,BP_GO_0000226,microtubule cytoskeleton organization,BP_GO_0000226_2,BP_GO_0000226,microtubule cytoskeleton organization,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,14
BP,GO:0007098,centrosome cycle,biological_process,2,45,GO:0000226,40,4.685985471559141,go_ancestor_prepartition,BP_GO_0000226,microtubule cytoskeleton organization,BP_GO_0000226_3,BP_GO_0000226,microtubule cytoskeleton organization,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,14
BP,GO:0010457,centriole-centriole cohesion,biological_process,1,10,GO:0000226,40,4.685985471559141,go_ancestor_prepartition,BP_GO_0000226,microtubule cytoskeleton organization,BP_GO_0000226_3,BP_GO_0000226,microtubule cytoskeleton organization,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,14
BP,GO:0051298,centrosome duplication,biological_process,2,15,GO:0000226,40,4.685985471559141,go_ancestor_prepartition,BP_GO_0000226,microtubule cytoskeleton organization,BP_GO_0000226_3,BP_GO_0000226,microtubule cytoskeleton organization,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,14
BP,GO:0007099,centriole replication,biological_process,1,6,GO:0000226,40,4.685985471559141,go_ancestor_prepartition,BP_GO_0000226,microtubule cytoskeleton organization,BP_GO_0000226_4,BP_GO_0000226,microtubule cytoskeleton organization,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,14
BP,GO:0098534,centriole assembly,biological_process,1,5,GO:0000226,40,4.685985471559141,go_ancestor_prepartition,BP_GO_0000226,microtubule cytoskeleton organization,BP_GO_0000226_4,BP_GO_0000226,microtubule cytoskeleton organization,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,14
BP,GO:0034454,microtubule anchoring at centrosome,biological_process,1,7,GO:0000226,40,4.685985471559141,go_ancestor_prepartition,BP_GO_0000226,microtubule cytoskeleton organization,BP_GO_0000226_5,BP_GO_0000226,microtubule cytoskeleton organization,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,14
BP,GO:0035082,axoneme assembly,biological_process,1,9,GO:0000226,40,4.685985471559141,go_ancestor_prepartition,BP_GO_0000226,microtubule cytoskeleton organization,BP_GO_0000226_6,BP_GO_0000226,microtubule cytoskeleton organization,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,14
BP,GO:0036159,inner dynein arm assembly,biological_process,1,5,GO:0000226,40,4.685985471559141,go_ancestor_prepartition,BP_GO_0000226,microtubule cytoskeleton organization,BP_GO_0000226_6,BP_GO_0000226,microtubule cytoskeleton organization,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,14
BP,GO:0000278,mitotic cell cycle,biological_process,2,116,GO:0000278,45,4.5809212083105315,go_ancestor_prepartition,BP_GO_0000278,mitotic cell cycle,BP_GO_0000278_1,BP_GO_0000278,mitotic cell cycle,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,4
BP,GO:0007346,regulation of mitotic cell cycle,biological_process,2,69,GO:0000278,45,4.5809212083105315,go_ancestor_prepartition,BP_GO_0000278,mitotic cell cycle,BP_GO_0000278_2,BP_GO_0000278,mitotic cell cycle,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,4
BP,GO:0045930,negative regulation of mitotic cell cycle,biological_process,2,27,GO:0000278,45,4.5809212083105315,go_ancestor_prepartition,BP_GO_0000278,mitotic cell cycle,BP_GO_0000278_2,BP_GO_0000278,mitotic cell cycle,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,4
