ontology,semantic_block_id,semantic_block_name,root_node,semantic_cluster_id,n_terms,representative_go_ids,representative_terms,cluster_method,semantic_similarity_cutoff,semantic_block_n_terms,preblock_method,preblock_go_id
BP,BP_GO_0000226,microtubule cytoskeleton organization,biological_process,BP_GO_0000226_1,4,GO:0000226; GO:0001578; GO:0031023; GO:0034453,microtubule cytoskeleton organization; microtubule bundle formation; microtubule organizing center organization; microtubule anchoring,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,14,go_ancestor_prepartition,GO:0000226
BP,BP_GO_0000226,microtubule cytoskeleton organization,biological_process,BP_GO_0000226_2,2,GO:0007051; GO:0051225,spindle organization; spindle assembly,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,14,go_ancestor_prepartition,GO:0000226
BP,BP_GO_0000226,microtubule cytoskeleton organization,biological_process,BP_GO_0000226_3,3,GO:0007098; GO:0010457; GO:0051298,centrosome cycle; centriole-centriole cohesion; centrosome duplication,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,14,go_ancestor_prepartition,GO:0000226
BP,BP_GO_0000226,microtubule cytoskeleton organization,biological_process,BP_GO_0000226_4,2,GO:0007099; GO:0098534,centriole replication; centriole assembly,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,14,go_ancestor_prepartition,GO:0000226
BP,BP_GO_0000226,microtubule cytoskeleton organization,biological_process,BP_GO_0000226_5,1,GO:0034454,microtubule anchoring at centrosome,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,14,go_ancestor_prepartition,GO:0000226
BP,BP_GO_0000226,microtubule cytoskeleton organization,biological_process,BP_GO_0000226_6,2,GO:0035082; GO:0036159,axoneme assembly; inner dynein arm assembly,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,14,go_ancestor_prepartition,GO:0000226
BP,BP_GO_0000278,mitotic cell cycle,biological_process,BP_GO_0000278_1,1,GO:0000278,mitotic cell cycle,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,4,go_ancestor_prepartition,GO:0000278
BP,BP_GO_0000278,mitotic cell cycle,biological_process,BP_GO_0000278_2,2,GO:0007346; GO:0045930,regulation of mitotic cell cycle; negative regulation of mitotic cell cycle,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,4,go_ancestor_prepartition,GO:0000278
BP,BP_GO_0000278,mitotic cell cycle,biological_process,BP_GO_0000278_3,1,GO:0045931,positive regulation of mitotic cell cycle,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,4,go_ancestor_prepartition,GO:0000278
BP,BP_GO_0000902,cell morphogenesis,biological_process,BP_GO_0000902_singleton_1,1,GO:0000902,cell morphogenesis,singleton_one_term,0.7,1,go_ancestor_prepartition,GO:0000902
